product_id,product_name,product_price,reviews,created_by,category
BE100070,Beauty Else 70,776.92,Great quality and fast delivery!,"Estes, Parker and Johnson",Beauty
BE100071,Beauty Bring 71,971.13,"Excellent product, highly recommend.",Brown-Jones,Beauty
BE100072,Beauty Floor 72,598.34,Wouldn’t buy again.,Nolan LLC,Beauty
BE100073,Beauty Role 73,439.83,"Excellent product, highly recommend.",Roberts-Russo,Beauty
BE100074,Beauty Last 74,112.39,Perfect gift option!,"Williams, Allen and Juarez",Beauty
BE100075,Beauty Effect 75,292.61,Wouldn’t buy again.,"Choi, Hess and Henderson",Beauty
BE100076,Beauty Feeling 76,657.73,Satisfied with the purchase.,Parker PLC,Beauty
BE100077,Beauty Play 77,694.98,Wouldn’t buy again.,Cunningham-Moore,Beauty
BE100078,Beauty Worker 78,902.54,"Average experience, could be better.",Ellis-Brooks,Beauty
BE100079,Beauty Work 79,337.03,"Excellent product, highly recommend.",Lawson-Peters,Beauty
BE100080,Beauty World 80,852.64,Great quality and fast delivery!,Cruz LLC,Beauty
BE100081,Beauty Full 81,129.36,"Excellent product, highly recommend.",Durham PLC,Beauty
BE100082,Beauty Medical 82,481.59,Very durable and eco-friendly packaging.,"Williams, Marquez and Walls",Beauty
BE100083,Beauty Account 83,277.47,"Excellent product, highly recommend.",Smith Group,Beauty
BE100084,Beauty Wonder 84,253.1,"Excellent product, highly recommend.","Nguyen, Davis and Gutierrez",Beauty
BE100085,Beauty Before 85,729.69,Great quality and fast delivery!,"Terrell, Mitchell and Peterson",Beauty
BE100086,Beauty Pattern 86,586.27,"Average experience, could be better.",Barton Inc,Beauty
BE100087,Beauty Yourself 87,794.32,Perfect gift option!,Torres-Stewart,Beauty
BE100088,Beauty Material 88,650.0,Good but overpriced.,West Ltd,Beauty
BE100089,Beauty Identify 89,970.42,Wouldn’t buy again.,"Harris, Nash and Zavala",Beauty
BE100090,Beauty Dinner 90,704.08,Satisfied with the purchase.,Cunningham-Johnson,Beauty
BE100091,Beauty Hold 91,872.08,"Excellent product, highly recommend.",Barrett-Roberts,Beauty
BE100092,Beauty Hard 92,133.29,Perfect gift option!,"Flores, Vincent and Tanner",Beauty
BE100093,Beauty Career 93,918.8,"Average experience, could be better.",Acosta-Brown,Beauty
BE100094,Beauty If 94,83.71,Great quality and fast delivery!,"Scott, Freeman and Mckinney",Beauty
BE100095,Beauty Later 95,423.21,Perfect gift option!,Mendez-Horn,Beauty
BE100096,Beauty Recently 96,819.56,Great quality and fast delivery!,"Cox, Craig and Brooks",Beauty
BE100097,Beauty Technology 97,928.9,Perfect gift option!,Rivers-Herring,Beauty
BE100098,Beauty Audience 98,696.95,Not worth the price.,Aguirre Ltd,Beauty
BE100099,Beauty Every 99,531.66,"Excellent product, highly recommend.",Sanders-Gallegos,Beauty
BE100100,Beauty Within 100,430.73,Good but overpriced.,"Smith, Gomez and Leblanc",Beauty
BE100101,Beauty Anything 101,645.17,Fantastic product with ethical sourcing.,Freeman PLC,Beauty
BE100102,Beauty Big 102,518.89,"Average experience, could be better.",Tapia PLC,Beauty
BE100103,Beauty Reveal 103,214.29,Very durable and eco-friendly packaging.,Anthony Inc,Beauty
BE100104,Beauty Southern 104,233.59,"Excellent product, highly recommend.",Thomas-Freeman,Beauty
BE100105,Beauty Measure 105,269.71,Good but overpriced.,"Howell, Sherman and James",Beauty
BE100106,Beauty Season 106,939.05,Perfect gift option!,"Williams, Johnson and Bowen",Beauty
BE100107,Beauty Hundred 107,844.74,Great quality and fast delivery!,"Brewer, Vargas and Foster",Beauty
BE100108,Beauty Quality 108,232.96,"Average experience, could be better.",Brooks and Sons,Beauty
BE100109,Beauty Ability 109,183.34,Fantastic product with ethical sourcing.,Wright LLC,Beauty
BE100110,Beauty Body 110,318.79,Perfect gift option!,Curtis-Smith,Beauty
BE100111,Beauty Thing 111,90.59,Satisfied with the purchase.,Kirby-Hoffman,Beauty
BE100112,Beauty Scientist 112,807.49,Not worth the price.,Garcia-Cooper,Beauty
BE100113,Beauty Guess 113,70.37,Good but overpriced.,Mueller PLC,Beauty
BE100114,Beauty Any 114,789.26,"Excellent product, highly recommend.",Preston Group,Beauty
BE100115,Beauty Decision 115,574.26,Very durable and eco-friendly packaging.,Olson Ltd,Beauty
BE100116,Beauty Crime 116,168.24,"Excellent product, highly recommend.","Christian, Holmes and Anderson",Beauty
BE100117,Beauty Agree 117,703.54,Satisfied with the purchase.,Eaton-Rojas,Beauty
BE100118,Beauty Official 118,198.95,Very durable and eco-friendly packaging.,"Knight, Stewart and Smith",Beauty
BE100119,Beauty Care 119,158.27,"Excellent product, highly recommend.","Knapp, Stephens and Guerra",Beauty
BE100120,Beauty Matter 120,537.41,Wouldn’t buy again.,Bolton-Myers,Beauty
BE100121,Beauty Seek 121,744.28,Perfect gift option!,Dennis Ltd,Beauty
BE100122,Beauty Despite 122,264.77,Great quality and fast delivery!,"Mckee, Garner and Gray",Beauty
BE100123,Beauty Measure 123,316.64,Fantastic product with ethical sourcing.,Navarro-Strickland,Beauty
BE100124,Beauty Investment 124,850.16,Good but overpriced.,Chapman-Barry,Beauty
BE100125,Beauty Newspaper 125,423.42,Satisfied with the purchase.,"Hunt, King and Monroe",Beauty
BE100126,Beauty Character 126,677.2,Great quality and fast delivery!,Clark PLC,Beauty
BE100127,Beauty In 127,493.89,Fantastic product with ethical sourcing.,"Bryant, Romero and Ford",Beauty
BE100128,Beauty Bag 128,718.13,Wouldn’t buy again.,"Ramirez, Skinner and Potts",Beauty
BE100129,Beauty Student 129,523.57,Great quality and fast delivery!,White LLC,Beauty
BE100130,Beauty Social 130,345.13,Good but overpriced.,Mclaughlin-Elliott,Beauty
BE100131,Beauty Beat 131,984.51,Satisfied with the purchase.,Chan-Whitehead,Beauty
BE100132,Beauty Gas 132,995.82,Satisfied with the purchase.,Dean Ltd,Beauty
BE100133,Beauty Throw 133,994.94,"Excellent product, highly recommend.",Jennings-Campbell,Beauty
BE100134,Beauty Rate 134,987.56,Perfect gift option!,Miller-Love,Beauty
BE100135,Beauty Magazine 135,932.17,Not worth the price.,Anderson Group,Beauty
BE100136,Beauty Establish 136,771.73,Great quality and fast delivery!,"Mueller, Nelson and Mathews",Beauty
BE100137,Beauty Where 137,93.69,Not worth the price.,Wall Ltd,Beauty
BE100138,Beauty Value 138,641.57,Very durable and eco-friendly packaging.,Whitaker-Powell,Beauty
BE100139,Beauty Deal 139,56.15,"Average experience, could be better.",Kelly-Manning,Beauty
BE100140,Beauty Hand 140,897.35,Perfect gift option!,"Dunn, Harper and Price",Beauty
BE100141,Beauty Moment 141,78.07,Wouldn’t buy again.,Torres-Weaver,Beauty
BE100142,Beauty Start 142,688.57,Great quality and fast delivery!,Arnold and Sons,Beauty
BE100143,Beauty Central 143,937.62,"Excellent product, highly recommend.",Reynolds-Lowe,Beauty
BE100144,Beauty Fine 144,606.97,Good but overpriced.,Kent and Sons,Beauty
BE100145,Beauty Reflect 145,232.69,"Average experience, could be better.",Mejia Inc,Beauty
BE100146,Beauty Rule 146,415.08,Not worth the price.,Tate-Marshall,Beauty
BE100147,Beauty Open 147,826.26,Great quality and fast delivery!,Wise LLC,Beauty
BE100148,Beauty Performance 148,259.95,Great quality and fast delivery!,Campbell-Sanchez,Beauty
BE100149,Beauty Painting 149,405.8,"Excellent product, highly recommend.","Sanchez, Russell and Delgado",Beauty
BE100150,Beauty Arrive 150,50.04,Perfect gift option!,Lewis-Clark,Beauty
BE100151,Beauty Religious 151,702.65,Perfect gift option!,Cole-Montoya,Beauty
BE100152,Beauty Environment 152,160.13,Perfect gift option!,"Burton, Harvey and Patterson",Beauty
BE100153,Beauty Thus 153,302.16,Perfect gift option!,Griffin Ltd,Beauty
BE100154,Beauty Consumer 154,465.06,Satisfied with the purchase.,"Deleon, Smith and Dean",Beauty
BE100155,Beauty Month 155,966.67,Not worth the price.,Hobbs Inc,Beauty
BE100156,Beauty Professor 156,142.57,"Average experience, could be better.",Lawrence Inc,Beauty
BE100157,Beauty Yet 157,60.95,"Excellent product, highly recommend.",Hughes-Smith,Beauty
BE100158,Beauty Bag 158,533.15,Great quality and fast delivery!,Jordan-Parsons,Beauty
BE100159,Beauty Occur 159,200.98,"Average experience, could be better.","Taylor, Williams and Howard",Beauty
BE100160,Beauty Watch 160,850.81,Good but overpriced.,"Wells, White and Gonzalez",Beauty
BE100161,Beauty Walk 161,457.72,Fantastic product with ethical sourcing.,Weber Ltd,Beauty
BE100162,Beauty Drop 162,780.86,Not worth the price.,Hudson-Fisher,Beauty
BE100163,Beauty Store 163,923.24,"Average experience, could be better.","Lucas, Cruz and Lee",Beauty
BE100164,Beauty Minute 164,796.03,Good but overpriced.,Graham-Porter,Beauty
BE100165,Beauty Common 165,279.31,Not worth the price.,Peters-Stout,Beauty
BE100166,Beauty Tv 166,168.12,Wouldn’t buy again.,Olson-Chavez,Beauty
BE100167,Beauty Support 167,239.7,Not worth the price.,"Hill, Murphy and Davis",Beauty
BE100168,Beauty Think 168,783.0,Very durable and eco-friendly packaging.,"Bell, Johnson and Beard",Beauty
BE100169,Beauty This 169,817.21,Great quality and fast delivery!,Andersen-Barber,Beauty
BE100170,Beauty Bad 170,711.68,Great quality and fast delivery!,"Hess, Cline and Carter",Beauty
BE100171,Beauty Particularly 171,514.53,Not worth the price.,Soto Group,Beauty
BE100172,Beauty Idea 172,404.6,"Average experience, could be better.",Smith LLC,Beauty
BE100173,Beauty Street 173,668.96,Perfect gift option!,"Hancock, Summers and Williamson",Beauty
BE100174,Beauty Threat 174,493.18,"Average experience, could be better.","Barton, Weiss and Craig",Beauty
BE100175,Beauty Many 175,347.43,Good but overpriced.,"Jones, Duncan and Wolfe",Beauty
BE100176,Beauty Son 176,86.4,Very durable and eco-friendly packaging.,Martin Group,Beauty
BE100177,Beauty Put 177,386.2,"Average experience, could be better.",Allen-Alvarez,Beauty
BE100178,Beauty Lay 178,122.75,Perfect gift option!,Hansen LLC,Beauty
BE100179,Beauty Girl 179,261.03,Very durable and eco-friendly packaging.,Waller and Sons,Beauty
BE100180,Beauty Notice 180,950.69,Great quality and fast delivery!,Palmer-Kelley,Beauty
BE100181,Beauty Even 181,829.4,Satisfied with the purchase.,"Hogan, Raymond and Myers",Beauty
BE100182,Beauty Knowledge 182,694.1,Very durable and eco-friendly packaging.,Moreno-Martin,Beauty
BE100183,Beauty Music 183,387.36,Perfect gift option!,"Andrews, Mclaughlin and Yoder",Beauty
BE100184,Beauty Service 184,815.17,Great quality and fast delivery!,Keith Ltd,Beauty
BE100185,Beauty Week 185,950.98,Very durable and eco-friendly packaging.,Jones Group,Beauty
BE100186,Beauty Charge 186,471.49,Not worth the price.,Conner Ltd,Beauty
BE100187,Beauty Necessary 187,540.17,Not worth the price.,Mullins-Mills,Beauty
BE100188,Beauty Hundred 188,330.71,Not worth the price.,"Bowman, Goodman and Herring",Beauty
BE100189,Beauty Easy 189,432.5,Good but overpriced.,Barton-Ramirez,Beauty
BE100190,Beauty Out 190,330.74,Not worth the price.,Green-Delacruz,Beauty
BE100191,Beauty Tough 191,251.74,Very durable and eco-friendly packaging.,"Morris, Graham and Maldonado",Beauty
BE100192,Beauty Money 192,748.15,Fantastic product with ethical sourcing.,"Ramirez, Palmer and Lee",Beauty
BE100193,Beauty Property 193,48.51,Perfect gift option!,Lee and Sons,Beauty
BE100194,Beauty Citizen 194,194.97,Fantastic product with ethical sourcing.,Clark LLC,Beauty
BE100195,Beauty Upon 195,822.03,Satisfied with the purchase.,Douglas-Jordan,Beauty
BE100196,Beauty Stage 196,145.56,Perfect gift option!,"Murphy, Torres and Barrett",Beauty
BE100197,Beauty Every 197,855.85,"Average experience, could be better.",Baldwin and Sons,Beauty
BE100198,Beauty Subject 198,466.86,Wouldn’t buy again.,"Bruce, Moore and Brewer",Beauty
BE100199,Beauty Tell 199,982.46,Wouldn’t buy again.,Mccormick PLC,Beauty
BE100200,Beauty Later 200,110.56,"Excellent product, highly recommend.",Nguyen-James,Beauty
BE100201,Beauty Whom 201,430.53,Good but overpriced.,Whitaker-Rush,Beauty
BE100202,Beauty Floor 202,390.28,"Average experience, could be better.",Ford-Castillo,Beauty
BE100203,Beauty Another 203,864.35,Very durable and eco-friendly packaging.,Wong-Martinez,Beauty
BE100204,Beauty Develop 204,320.7,Wouldn’t buy again.,Johnson and Sons,Beauty
BE100205,Beauty Brother 205,9.98,Good but overpriced.,Molina-Chan,Beauty
BE100206,Beauty Be 206,115.8,Fantastic product with ethical sourcing.,Pittman LLC,Beauty
BE100207,Beauty Idea 207,845.97,Fantastic product with ethical sourcing.,"Moody, Morgan and Blair",Beauty
BE100208,Beauty Want 208,902.82,Perfect gift option!,Wagner-Coleman,Beauty
BE100209,Beauty Statement 209,61.38,Perfect gift option!,"Smith, Harmon and Taylor",Beauty
BE100210,Beauty Become 210,526.13,Good but overpriced.,Nelson-Shepard,Beauty
BE100211,Beauty Age 211,270.4,Good but overpriced.,"Williams, Schneider and Hart",Beauty
BE100212,Beauty Often 212,84.32,Great quality and fast delivery!,Acosta Inc,Beauty
BE100213,Beauty Administration 213,143.38,Satisfied with the purchase.,Cook-Scott,Beauty
BE100214,Beauty Traditional 214,200.17,Very durable and eco-friendly packaging.,White-Garcia,Beauty
BE100215,Beauty Study 215,116.14,Very durable and eco-friendly packaging.,Mitchell Ltd,Beauty
BE100216,Beauty Dinner 216,973.24,"Excellent product, highly recommend.",Brown Ltd,Beauty
BE100217,Beauty Yard 217,252.08,Very durable and eco-friendly packaging.,James Inc,Beauty
BE100218,Beauty Respond 218,703.96,Very durable and eco-friendly packaging.,"Scott, Boyd and Robinson",Beauty
BE100219,Beauty Campaign 219,29.22,Good but overpriced.,Bennett Ltd,Beauty
BE100220,Beauty Address 220,532.96,Good but overpriced.,Taylor Ltd,Beauty
BE100221,Beauty Spring 221,921.61,Great quality and fast delivery!,Bennett and Sons,Beauty
BE100222,Beauty Building 222,177.53,Good but overpriced.,"Lee, Price and Mckee",Beauty
BE100223,Beauty Of 223,996.16,Perfect gift option!,Duncan-Johnson,Beauty
BE100224,Beauty Four 224,766.92,Fantastic product with ethical sourcing.,Jones Ltd,Beauty
BE100225,Beauty Consider 225,804.16,Very durable and eco-friendly packaging.,Cantu Inc,Beauty
BE100226,Beauty Teacher 226,457.51,Good but overpriced.,Watson LLC,Beauty
BE100227,Beauty Politics 227,727.4,Satisfied with the purchase.,Mills Ltd,Beauty
BE100228,Beauty Century 228,468.0,Fantastic product with ethical sourcing.,"Banks, Todd and West",Beauty
BE100229,Beauty Page 229,571.5,"Average experience, could be better.",Blanchard-Williams,Beauty
BE100230,Beauty Interview 230,277.38,Great quality and fast delivery!,Carpenter-Martin,Beauty
BE100231,Beauty Technology 231,562.99,Perfect gift option!,Davila and Sons,Beauty
BE100232,Beauty Agreement 232,980.44,Wouldn’t buy again.,Aguilar-Dougherty,Beauty
BE100233,Beauty Hospital 233,564.54,Very durable and eco-friendly packaging.,"Allen, Lawrence and West",Beauty
BE100234,Beauty Stand 234,326.08,"Excellent product, highly recommend.",Harmon and Sons,Beauty
BE100235,Beauty Can 235,290.28,"Average experience, could be better.",Cook Inc,Beauty
BE100236,Beauty City 236,223.28,Great quality and fast delivery!,Velasquez-Aguilar,Beauty
BE100237,Beauty Past 237,816.02,"Excellent product, highly recommend.",Blair Inc,Beauty
BE100238,Beauty Hit 238,451.51,Good but overpriced.,Kennedy-Hayes,Beauty
BE100239,Beauty Ever 239,718.71,"Excellent product, highly recommend.",Murphy-Bowman,Beauty
BE100240,Beauty Sister 240,89.02,Satisfied with the purchase.,Carey Inc,Beauty
BE100241,Beauty Because 241,671.82,Very durable and eco-friendly packaging.,"Wells, Barnes and King",Beauty
BE100242,Beauty Beautiful 242,474.89,Not worth the price.,Edwards-Ward,Beauty
BE100243,Beauty Him 243,159.25,Not worth the price.,Patel-Reyes,Beauty
BE100244,Beauty Hotel 244,483.06,"Average experience, could be better.","Johnson, Rose and Thornton",Beauty
BE100245,Beauty Firm 245,27.65,Wouldn’t buy again.,Johnson-Jones,Beauty
BE100246,Beauty Rate 246,791.68,"Average experience, could be better.",Fitzgerald Inc,Beauty
BE100247,Beauty If 247,832.31,Very durable and eco-friendly packaging.,Garcia Group,Beauty
BE100248,Beauty Personal 248,10.45,Not worth the price.,Sanchez Inc,Beauty
BE100249,Beauty Return 249,569.27,Fantastic product with ethical sourcing.,Chavez-Harper,Beauty
BE100250,Beauty Knowledge 250,42.22,Very durable and eco-friendly packaging.,"Oliver, Butler and Stevens",Beauty
BE100251,Beauty Require 251,408.93,"Average experience, could be better.",Hamilton-Osborne,Beauty
BE100252,Beauty Throughout 252,843.6,Great quality and fast delivery!,Ford-Beasley,Beauty
BE100253,Beauty Body 253,147.24,Perfect gift option!,Wilson Ltd,Beauty
BE100254,Beauty Raise 254,720.84,"Excellent product, highly recommend.",Gregory-Nelson,Beauty
BE100255,Beauty Capital 255,970.02,Perfect gift option!,"Brown, Sawyer and Ramos",Beauty
BE100256,Beauty Walk 256,473.6,Good but overpriced.,Chung and Sons,Beauty
BE100257,Beauty Girl 257,276.32,Great quality and fast delivery!,Shelton Group,Beauty
BE100258,Beauty Risk 258,491.87,Wouldn’t buy again.,Moore-Cooper,Beauty
BE100259,Beauty Baby 259,389.94,Fantastic product with ethical sourcing.,Thomas PLC,Beauty
BE100260,Beauty Free 260,272.01,Satisfied with the purchase.,Wise-Zuniga,Beauty
BE100261,Beauty Discuss 261,505.78,"Excellent product, highly recommend.",Mason PLC,Beauty
BE100262,Beauty Hotel 262,493.33,Great quality and fast delivery!,"Wilcox, Smith and Allen",Beauty
BE100263,Beauty Produce 263,649.22,Great quality and fast delivery!,Smith LLC,Beauty
BE100264,Beauty Nation 264,654.65,"Average experience, could be better.",Humphrey-Moore,Beauty
BE100265,Beauty Compare 265,303.57,Perfect gift option!,"Jones, Gray and Reid",Beauty
BE100266,Beauty Table 266,167.43,"Excellent product, highly recommend.",Francis-Austin,Beauty
BE100267,Beauty Note 267,668.77,Perfect gift option!,Pham Group,Beauty
BE100268,Beauty Later 268,616.16,Very durable and eco-friendly packaging.,"Schmidt, Woods and Hernandez",Beauty
BE100269,Beauty Force 269,29.93,Very durable and eco-friendly packaging.,"Johnson, Hart and Watson",Beauty
BE100270,Beauty Public 270,909.08,Not worth the price.,Bush Inc,Beauty
BE100271,Beauty Stock 271,763.98,Satisfied with the purchase.,Jensen Group,Beauty
BE100272,Beauty Deep 272,666.53,Satisfied with the purchase.,Oliver-Stewart,Beauty
BE100273,Beauty Present 273,550.8,Fantastic product with ethical sourcing.,Mayo-Johnson,Beauty
BE100274,Beauty Night 274,543.23,Perfect gift option!,"Fowler, Wheeler and Wilson",Beauty
BE100275,Beauty Place 275,826.08,Good but overpriced.,Jimenez Ltd,Beauty
BE100276,Beauty Rich 276,278.12,Very durable and eco-friendly packaging.,Huffman LLC,Beauty
BE100277,Beauty View 277,428.79,Perfect gift option!,"Watts, Baker and Brewer",Beauty
BE100278,Beauty Democratic 278,187.47,Great quality and fast delivery!,"Graham, Gonzalez and Cook",Beauty
BE100279,Beauty Reflect 279,765.66,Very durable and eco-friendly packaging.,"Rodgers, Hernandez and Ward",Beauty
BE100280,Beauty Research 280,442.22,Good but overpriced.,Holder PLC,Beauty
BE100281,Beauty Image 281,206.39,Good but overpriced.,Evans and Sons,Beauty
BE100282,Beauty Very 282,568.58,Wouldn’t buy again.,"Smith, Proctor and Herman",Beauty
BE100283,Beauty Thus 283,10.19,Good but overpriced.,"Bryant, Warner and Sawyer",Beauty
BE100284,Beauty Successful 284,891.79,Great quality and fast delivery!,Lindsey-Miller,Beauty
BE100285,Beauty None 285,50.5,Not worth the price.,Smith-Reid,Beauty
BE100286,Beauty Film 286,512.09,Great quality and fast delivery!,"Smith, Gaines and Miles",Beauty
BE100287,Beauty Condition 287,158.41,Perfect gift option!,"Garcia, Lowe and Dean",Beauty
BE100288,Beauty Sit 288,72.26,Wouldn’t buy again.,"Wilson, Fuller and Miller",Beauty
BE100289,Beauty Get 289,844.2,Good but overpriced.,Martinez PLC,Beauty
BE100290,Beauty Travel 290,690.1,"Excellent product, highly recommend.",Wise-Williams,Beauty
BE100291,Beauty Enough 291,548.53,Great quality and fast delivery!,Dominguez-Simmons,Beauty
BE100292,Beauty Natural 292,540.78,Great quality and fast delivery!,Jones PLC,Beauty
BE100293,Beauty Along 293,449.33,Good but overpriced.,"Taylor, Hernandez and Burns",Beauty
BE100294,Beauty Bank 294,970.27,Good but overpriced.,Perry LLC,Beauty
BE100295,Beauty Hand 295,684.0,Great quality and fast delivery!,Ray-Olsen,Beauty
BE100296,Beauty Change 296,674.55,"Excellent product, highly recommend.","Huynh, Graham and Mills",Beauty
BE100297,Beauty Office 297,9.68,Fantastic product with ethical sourcing.,Jordan Ltd,Beauty
BE100298,Beauty This 298,905.91,Good but overpriced.,"Martinez, Lee and Brown",Beauty
BE100299,Beauty Fly 299,604.75,"Average experience, could be better.",Rhodes-Aguirre,Beauty
BE100300,Beauty True 300,25.22,Good but overpriced.,Adams-Jarvis,Beauty
BE100301,Beauty Letter 301,871.57,Wouldn’t buy again.,"Smith, Lloyd and Newton",Beauty
BE100302,Beauty Democratic 302,62.11,Satisfied with the purchase.,Clayton-Boone,Beauty
BE100303,Beauty Culture 303,98.83,Fantastic product with ethical sourcing.,Velez-Palmer,Beauty
