product_id,product_name,product_price,category,reviews,environmental_impact_score,labor_rights_score,animal_welfare_score,corporate_governance_score
EL100010,Electronics Ago 10,428.37,Electronics,"Build quality feels cheap. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Very easy to set up and operate. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Poor sound quality, not satisfied.",5.0,5.0,5.0,6.1
EL100011,Electronics Whether 11,458.98,Electronics,"Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Performance is smooth and fast. | Build quality feels cheap.",5.0,5.0,5.0,5.3
EL100012,Electronics Suddenly 12,138.04,Electronics,"Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Very easy to set up and operate. | Compact design and very lightweight.",5.0,5.0,5.0,6.2
EL100013,Electronics Like 13,857.52,Electronics,"Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Very easy to set up and operate. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant.",5.0,5.0,5.0,5.6
EL100014,Electronics Form 14,895.87,Electronics,"Overheats quickly after continuous use. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Performance is smooth and fast. | Display is sharp and vibrant. | Great value for the price, highly recommend. | Stopped working after a few weeks.",5.0,5.0,5.0,7.4
EL100015,Electronics Morning 15,814.04,Electronics,"Build quality feels cheap. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,5.9
EL100016,Electronics However 16,741.76,Electronics,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Compact design and very lightweight. | Very easy to set up and operate. | Display is sharp and vibrant.",5.0,5.0,5.0,6.1
EL100017,Electronics Federal 17,388.52,Electronics,"Performance is smooth and fast. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Very easy to set up and operate. | Compact design and very lightweight. | Great value for the price, highly recommend.",5.0,5.0,5.0,7.4
EL100018,Electronics Sort 18,623.5,Electronics,"Very easy to set up and operate. | Great value for the price, highly recommend. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Compact design and very lightweight. | Stopped working after a few weeks. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product.",5.0,5.0,5.0,6.1
EL100019,Electronics Include 19,113.38,Electronics,"Poor sound quality, not satisfied. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Build quality feels cheap. | Display is sharp and vibrant. | Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Great value for the price, highly recommend.",5.0,5.0,5.0,6.1
EL100020,Electronics Natural 20,468.82,Electronics,"Great value for the price, highly recommend. | Build quality feels cheap. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Very easy to set up and operate. | Overheats quickly after continuous use.",5.0,5.0,5.0,6.1
EL100021,Electronics Song 21,775.19,Electronics,"Performance is smooth and fast. | Very easy to set up and operate. | Stopped working after a few weeks. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Overheats quickly after continuous use. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Poor sound quality, not satisfied.",5.0,5.0,5.0,5.9
EL100022,Electronics Traditional 22,662.47,Electronics,"Display is sharp and vibrant. | Build quality feels cheap. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Compact design and very lightweight. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Performance is smooth and fast. | Poor sound quality, not satisfied.",5.0,5.0,5.0,5.9
EL100023,Electronics Mother 23,84.57,Electronics,"Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Compact design and very lightweight. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Build quality feels cheap.",5.0,5.0,5.0,6.1
EL100024,Electronics Traditional 24,630.19,Electronics,"Very easy to set up and operate. | Stopped working after a few weeks. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Compact design and very lightweight. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied.",5.0,5.0,5.0,5.7
EL100025,Electronics Than 25,748.91,Electronics,"Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Very easy to set up and operate. | Stopped working after a few weeks. | Compact design and very lightweight. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Poor sound quality, not satisfied.",5.0,5.0,5.0,5.6
EL100026,Electronics Yard 26,995.32,Electronics,"Compact design and very lightweight. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Performance is smooth and fast. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Display is sharp and vibrant.",5.0,5.0,5.0,6.4
EL100027,Electronics Its 27,834.55,Electronics,"Compact design and very lightweight. | Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Very easy to set up and operate. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Performance is smooth and fast. | Display is sharp and vibrant. | Build quality feels cheap.",5.0,5.0,5.0,6.1
EL100028,Electronics Lead 28,204.26,Electronics,"Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Performance is smooth and fast. | Compact design and very lightweight. | Very easy to set up and operate. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,5.7
EL100029,Electronics Would 29,879.04,Electronics,"Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Compact design and very lightweight. | Performance is smooth and fast. | Battery life is excellent and long-lasting. | Stopped working after a few weeks.",5.0,5.0,5.0,5.9
EL100030,Electronics To 30,787.4,Electronics,"Very easy to set up and operate. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Compact design and very lightweight. | Build quality feels cheap. | Display is sharp and vibrant. | Great value for the price, highly recommend. | Stopped working after a few weeks.",5.0,5.0,5.0,6.1
EL100031,Electronics Later 31,463.01,Electronics,"Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Very easy to set up and operate. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,5.7
EL100032,Electronics Reach 32,396.27,Electronics,"Very easy to set up and operate. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Build quality feels cheap. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Performance is smooth and fast.",5.0,5.0,5.0,6.1
EL100033,Electronics Live 33,151.68,Electronics,"Build quality feels cheap. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Performance is smooth and fast. | Overheats quickly after continuous use. | Very easy to set up and operate. | Exceeded my expectations, fantastic product. | Compact design and very lightweight.",5.0,5.0,5.0,6.1
EL100034,Electronics Attack 34,342.32,Electronics,"Battery life is excellent and long-lasting. | Very easy to set up and operate. | Overheats quickly after continuous use. | Build quality feels cheap. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,6.1
EL100035,Electronics Remain 35,614.07,Electronics,"Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Very easy to set up and operate. | Build quality feels cheap. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Performance is smooth and fast. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,6.1
EL100036,Electronics Game 36,714.52,Electronics,"Battery life is excellent and long-lasting. | Build quality feels cheap. | Overheats quickly after continuous use. | Very easy to set up and operate. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Display is sharp and vibrant. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend.",5.0,5.0,5.0,8.0
EL100037,Electronics Organization 37,646.04,Electronics,"Compact design and very lightweight. | Performance is smooth and fast. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,6.1
EL100038,Electronics Plant 38,73.22,Electronics,"Great value for the price, highly recommend. | Display is sharp and vibrant. | Very easy to set up and operate. | Compact design and very lightweight. | Build quality feels cheap. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Stopped working after a few weeks. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,7.4
EL100039,Electronics Million 39,12.47,Electronics,"Battery life is excellent and long-lasting. | Build quality feels cheap. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Compact design and very lightweight.",5.0,5.0,5.0,6.1
EL100040,Electronics When 40,825.81,Electronics,"Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Build quality feels cheap. | Stopped working after a few weeks. | Very easy to set up and operate. | Display is sharp and vibrant. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,6.1
EL100041,Electronics Difference 41,202.85,Electronics,"Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Poor sound quality, not satisfied.",5.0,5.0,5.0,6.1
EL100042,Electronics Throw 42,192.06,Electronics,"Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use. | Compact design and very lightweight. | Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Stopped working after a few weeks. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,7.3
EL100043,Electronics Garden 43,476.46,Electronics,"Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,6.4
EL100044,Electronics Upon 44,847.61,Electronics,"Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Overheats quickly after continuous use. | Compact design and very lightweight. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Exceeded my expectations, fantastic product.",5.0,5.0,5.0,6.0
EL100045,Electronics Spring 45,428.6,Electronics,"Connectivity issues with Wi-Fi and Bluetooth. | Performance is smooth and fast. | Poor sound quality, not satisfied. | Stopped working after a few weeks. | Build quality feels cheap. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Very easy to set up and operate. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Great value for the price, highly recommend.",5.0,5.0,5.0,6.1
EL100046,Electronics Single 46,417.03,Electronics,"Great value for the price, highly recommend. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Performance is smooth and fast. | Display is sharp and vibrant. | Compact design and very lightweight.",5.0,5.0,5.0,6.4
EL100047,Electronics Prove 47,752.9,Electronics,"Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Exceeded my expectations, fantastic product. | Compact design and very lightweight. | Build quality feels cheap. | Stopped working after a few weeks. | Performance is smooth and fast. | Display is sharp and vibrant. | Very easy to set up and operate. | Poor sound quality, not satisfied. | Overheats quickly after continuous use.",5.0,5.0,5.0,5.6
EL100048,Electronics Sign 48,331.5,Electronics,"Build quality feels cheap. | Poor sound quality, not satisfied. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use.",5.0,5.0,5.0,6.3
EL100049,Electronics Front 49,859.92,Electronics,"Poor sound quality, not satisfied. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Stopped working after a few weeks. | Compact design and very lightweight. | Very easy to set up and operate. | Overheats quickly after continuous use. | Performance is smooth and fast. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,6.1
EL100050,Electronics Blood 50,879.68,Electronics,"Exceeded my expectations, fantastic product. | Build quality feels cheap. | Performance is smooth and fast. | Stopped working after a few weeks. | Very easy to set up and operate. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Display is sharp and vibrant.",5.0,5.0,5.0,6.1
EL100051,Electronics Thousand 51,136.79,Electronics,"Display is sharp and vibrant. | Compact design and very lightweight. | Very easy to set up and operate. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Stopped working after a few weeks. | Great value for the price, highly recommend. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied.",5.0,5.0,5.0,5.9
EL100052,Electronics System 52,368.47,Electronics,"Build quality feels cheap. | Performance is smooth and fast. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Very easy to set up and operate. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,5.9
EL100053,Electronics Energy 53,840.76,Electronics,"Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Stopped working after a few weeks. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Performance is smooth and fast. | Display is sharp and vibrant. | Very easy to set up and operate.",5.0,5.0,5.0,7.4
EL100054,Electronics Walk 54,244.01,Electronics,"Very easy to set up and operate. | Poor sound quality, not satisfied. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Compact design and very lightweight. | Performance is smooth and fast. | Overheats quickly after continuous use. | Build quality feels cheap. | Display is sharp and vibrant. | Battery life is excellent and long-lasting.",5.0,5.0,5.0,6.0
EL100055,Electronics Change 55,72.25,Electronics,"Display is sharp and vibrant. | Stopped working after a few weeks. | Compact design and very lightweight. | Poor sound quality, not satisfied. | Overheats quickly after continuous use. | Great value for the price, highly recommend. | Build quality feels cheap. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth. | Very easy to set up and operate.",5.0,5.0,5.0,6.1
EL100056,Electronics Along 56,604.8,Electronics,"Build quality feels cheap. | Very easy to set up and operate. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Compact design and very lightweight. | Great value for the price, highly recommend. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Performance is smooth and fast.",5.0,5.0,5.0,7.4
EL100057,Electronics Myself 57,992.71,Electronics,"Very easy to set up and operate. | Connectivity issues with Wi-Fi and Bluetooth. | Exceeded my expectations, fantastic product. | Build quality feels cheap. | Stopped working after a few weeks. | Display is sharp and vibrant. | Compact design and very lightweight. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Poor sound quality, not satisfied.",5.0,5.0,5.0,6.1
EL100058,Electronics Keep 58,596.77,Electronics,"Compact design and very lightweight. | Very easy to set up and operate. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Battery life is excellent and long-lasting. | Performance is smooth and fast. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,6.1
EL100059,Electronics Read 59,580.36,Electronics,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Connectivity issues with Wi-Fi and Bluetooth. | Great value for the price, highly recommend. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Build quality feels cheap. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product.",5.0,5.0,5.0,6.0
EL100060,Electronics Third 60,625.5,Electronics,"Display is sharp and vibrant. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Great value for the price, highly recommend. | Very easy to set up and operate. | Overheats quickly after continuous use. | Connectivity issues with Wi-Fi and Bluetooth. | Stopped working after a few weeks. | Performance is smooth and fast. | Exceeded my expectations, fantastic product. | Compact design and very lightweight.",5.0,5.0,5.0,7.4
EL100061,Electronics Professional 61,638.73,Electronics,"Very easy to set up and operate. | Battery life is excellent and long-lasting. | Overheats quickly after continuous use. | Stopped working after a few weeks. | Compact design and very lightweight. | Exceeded my expectations, fantastic product. | Display is sharp and vibrant. | Build quality feels cheap. | Performance is smooth and fast. | Great value for the price, highly recommend.",5.0,5.0,5.0,7.4
EL100062,Electronics Rock 62,490.78,Electronics,"Performance is smooth and fast. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Great value for the price, highly recommend. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Very easy to set up and operate. | Stopped working after a few weeks. | Display is sharp and vibrant. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,5.6
EL100063,Electronics Deal 63,147.54,Electronics,"Poor sound quality, not satisfied. | Compact design and very lightweight. | Very easy to set up and operate. | Great value for the price, highly recommend. | Exceeded my expectations, fantastic product. | Stopped working after a few weeks. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Overheats quickly after continuous use. | Performance is smooth and fast. | Battery life is excellent and long-lasting. | Display is sharp and vibrant.",5.0,5.0,5.0,6.1
EL100064,Electronics Fast 64,163.23,Electronics,"Great value for the price, highly recommend. | Very easy to set up and operate. | Stopped working after a few weeks. | Poor sound quality, not satisfied. | Performance is smooth and fast. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Build quality feels cheap. | Display is sharp and vibrant. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product.",5.0,5.0,5.0,6.1
EL100065,Electronics Theory 65,662.74,Electronics,"Compact design and very lightweight. | Overheats quickly after continuous use. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Battery life is excellent and long-lasting. | Display is sharp and vibrant. | Connectivity issues with Wi-Fi and Bluetooth. | Poor sound quality, not satisfied. | Performance is smooth and fast. | Build quality feels cheap.",5.0,5.0,5.0,6.0
EL100066,Electronics Item 66,586.32,Electronics,"Great value for the price, highly recommend. | Display is sharp and vibrant. | Compact design and very lightweight. | Stopped working after a few weeks. | Performance is smooth and fast. | Overheats quickly after continuous use. | Poor sound quality, not satisfied. | Very easy to set up and operate. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Connectivity issues with Wi-Fi and Bluetooth.",5.0,5.0,5.0,5.6
EL100067,Electronics Push 67,571.57,Electronics,"Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Great value for the price, highly recommend. | Performance is smooth and fast. | Display is sharp and vibrant. | Poor sound quality, not satisfied. | Compact design and very lightweight. | Connectivity issues with Wi-Fi and Bluetooth. | Build quality feels cheap. | Exceeded my expectations, fantastic product. | Very easy to set up and operate. | Overheats quickly after continuous use.",5.0,5.0,5.0,6.1
EL100068,Electronics Brother 68,202.13,Electronics,"Very easy to set up and operate. | Great value for the price, highly recommend. | Build quality feels cheap. | Connectivity issues with Wi-Fi and Bluetooth. | Battery life is excellent and long-lasting. | Compact design and very lightweight. | Display is sharp and vibrant. | Stopped working after a few weeks. | Exceeded my expectations, fantastic product. | Overheats quickly after continuous use.",5.0,5.0,5.0,7.4
EL100069,Electronics Art 69,923.6,Electronics,"Connectivity issues with Wi-Fi and Bluetooth. | Display is sharp and vibrant. | Compact design and very lightweight. | Overheats quickly after continuous use. | Build quality feels cheap. | Poor sound quality, not satisfied. | Great value for the price, highly recommend. | Very easy to set up and operate. | Stopped working after a few weeks. | Battery life is excellent and long-lasting. | Exceeded my expectations, fantastic product. | Performance is smooth and fast.",5.0,5.0,5.0,6.1
