product_id,product_name,product_price,reviews,created_by,Environmental Impact,Labor Rights,Animal Welfare,Corporate Governance
GR100010,Groceries Accept 10,448.21,"Packaging was damaged but product was fine. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging. | Flavor was average, nothing special.",Briggs Inc,37,34,82,33
GR100011,Groceries Ask 11,206.17,"Packaging was damaged but product was fine. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Too expensive for the quantity provided. | Great value for money, very satisfied.",Campbell Group,83,72,98,84
GR100012,Groceries Impact 12,751.2,"Too expensive for the quantity provided. | Flavor was average, nothing special. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it.","Anderson, Moreno and Smith",68,24,48,46
GR100013,Groceries Part 13,368.6,"Fresh and tasty, really enjoyed it. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Flavor was average, nothing special.",Smith LLC,61,55,85,43
GR100014,Groceries Man 14,500.7,"Flavor was average, nothing special. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Fresh and tasty, really enjoyed it. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase.",Conway and Sons,31,93,94,41
GR100015,Groceries Rule 15,616.93,"Fresh and tasty, really enjoyed it. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Too expensive for the quantity provided. | Great value for money, very satisfied. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase.",Meyers Ltd,98,65,72,97
GR100016,Groceries Lead 16,509.26,"Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Not fresh, disappointed with the purchase. | Perfect for daily use, very reliable. | Flavor was average, nothing special. | Excellent quality, will buy again. | Too expensive for the quantity provided. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Packaging was damaged but product was fine.",Lynn-Brown,55,42,38,64
GR100017,Groceries Join 17,926.09,"Flavor was average, nothing special. | Perfect for daily use, very reliable. | Product expired sooner than expected. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price.","Scott, Leonard and Martinez",27,64,85,27
GR100018,Groceries Animal 18,9.19,"Product expired sooner than expected. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Quantity is less compared to price. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging.","Jones, Chambers and Lee",47,29,71,86
GR100019,Groceries Yeah 19,179.83,"Very healthy choice, highly recommend. | Great value for money, very satisfied. | Quantity is less compared to price. | Product expired sooner than expected. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Flavor was average, nothing special.",Campbell Ltd,79,73,50,83
GR100020,Groceries Report 20,710.71,"Quantity is less compared to price. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging. | Great value for money, very satisfied. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Product expired sooner than expected. | Excellent quality, will buy again. | Fresh and tasty, really enjoyed it.",Donaldson Inc,68,89,79,66
GR100021,Groceries Enjoy 21,799.35,"Excellent quality, will buy again. | Fresh and tasty, really enjoyed it. | Product expired sooner than expected. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Quantity is less compared to price. | Very healthy choice, highly recommend. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Perfect for daily use, very reliable. | Packaging was damaged but product was fine.",Ramirez-Singh,57,96,87,40
GR100022,Groceries Official 22,462.35,"Great value for money, very satisfied. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Perfect for daily use, very reliable. | Loved the eco-friendly packaging. | Too expensive for the quantity provided. | Quantity is less compared to price.",Martin-Nguyen,99,51,49,51
GR100023,Groceries Still 23,544.17,"Too expensive for the quantity provided. | Product expired sooner than expected. | Very healthy choice, highly recommend. | Flavor was average, nothing special. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Fresh and tasty, really enjoyed it. | Excellent quality, will buy again. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable.","Riley, Novak and Shelton",77,62,32,64
GR100024,Groceries Hit 24,470.03,"Fresh and tasty, really enjoyed it. | Excellent quality, will buy again. | Quantity is less compared to price. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Too expensive for the quantity provided. | Great value for money, very satisfied. | Flavor was average, nothing special. | Product expired sooner than expected.",Cardenas-Mason,24,34,34,63
GR100025,Groceries Answer 25,10.61,"Flavor was average, nothing special. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Excellent quality, will buy again. | Very healthy choice, highly recommend. | Perfect for daily use, very reliable. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it.",Joseph-Robinson,65,85,39,60
GR100026,Groceries Watch 26,581.87,"Flavor was average, nothing special. | Very healthy choice, highly recommend. | Too expensive for the quantity provided. | Product expired sooner than expected. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Excellent quality, will buy again.",Watkins-Jordan,94,34,53,71
GR100027,Groceries Head 27,975.18,"Product expired sooner than expected. | Loved the eco-friendly packaging. | Flavor was average, nothing special. | Excellent quality, will buy again. | Quantity is less compared to price. | Great value for money, very satisfied. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Too expensive for the quantity provided.","Rice, Rose and Cowan",21,100,39,30
GR100028,Groceries College 28,931.46,"Too expensive for the quantity provided. | Perfect for daily use, very reliable. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Quantity is less compared to price.",Barton and Sons,44,39,69,37
GR100029,Groceries Forward 29,462.5,"Flavor was average, nothing special. | Excellent quality, will buy again. | Quantity is less compared to price. | Packaging was damaged but product was fine. | Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Too expensive for the quantity provided. | Loved the eco-friendly packaging. | Fresh and tasty, really enjoyed it. | Perfect for daily use, very reliable. | Great value for money, very satisfied.","Nichols, Hayes and Burton",20,69,46,30
GR100030,Groceries Explain 30,257.39,"Loved the eco-friendly packaging. | Quantity is less compared to price. | Very healthy choice, highly recommend. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Flavor was average, nothing special. | Product expired sooner than expected. | Fresh and tasty, really enjoyed it. | Packaging was damaged but product was fine.",Robinson Ltd,88,25,49,46
GR100031,Groceries Hand 31,289.14,"Product expired sooner than expected. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Quantity is less compared to price. | Perfect for daily use, very reliable. | Very healthy choice, highly recommend. | Not fresh, disappointed with the purchase. | Fresh and tasty, really enjoyed it. | Too expensive for the quantity provided. | Great value for money, very satisfied. | Loved the eco-friendly packaging. | Excellent quality, will buy again.",Martinez Inc,59,98,75,62
GR100032,Groceries Candidate 32,461.14,"Great value for money, very satisfied. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Excellent quality, will buy again. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Too expensive for the quantity provided. | Perfect for daily use, very reliable. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Product expired sooner than expected.","Arnold, Ray and Ward",87,36,84,84
GR100033,Groceries Nor 33,148.04,"Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Flavor was average, nothing special. | Quantity is less compared to price. | Excellent quality, will buy again. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it.","Dixon, Lang and Perez",88,45,74,73
GR100034,Groceries Another 34,270.73,"Packaging was damaged but product was fine. | Great value for money, very satisfied. | Quantity is less compared to price. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Product expired sooner than expected. | Very healthy choice, highly recommend. | Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Flavor was average, nothing special.",Carter-Thompson,88,41,43,48
GR100035,Groceries Name 35,797.65,"Excellent quality, will buy again. | Great value for money, very satisfied. | Very healthy choice, highly recommend. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Flavor was average, nothing special. | Quantity is less compared to price. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable.","Salas, Henderson and Smith",35,92,44,40
GR100036,Groceries Live 36,279.39,"Excellent quality, will buy again. | Too expensive for the quantity provided. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Perfect for daily use, very reliable. | Quantity is less compared to price. | Flavor was average, nothing special.",Crawford-Curtis,73,83,72,48
GR100037,Groceries Act 37,174.66,"Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging. | Excellent quality, will buy again. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Product expired sooner than expected. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Flavor was average, nothing special.",Harris-Bartlett,82,95,95,28
GR100038,Groceries Mission 38,502.01,"Product expired sooner than expected. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Loved the eco-friendly packaging. | Excellent quality, will buy again.","Gross, Fletcher and Vasquez",37,77,30,80
GR100039,Groceries Partner 39,64.31,"Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Flavor was average, nothing special. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Product expired sooner than expected. | Quantity is less compared to price. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Not fresh, disappointed with the purchase.",Garcia PLC,36,56,79,81
GR100040,Groceries Police 40,647.67,"Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Product expired sooner than expected. | Great value for money, very satisfied. | Flavor was average, nothing special. | Too expensive for the quantity provided.","Bailey, Yang and Macias",23,97,96,90
GR100041,Groceries Across 41,553.32,"Quantity is less compared to price. | Perfect for daily use, very reliable. | Loved the eco-friendly packaging. | Very healthy choice, highly recommend. | Too expensive for the quantity provided. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Product expired sooner than expected. | Flavor was average, nothing special. | Great value for money, very satisfied.","Blake, Obrien and Schmidt",28,91,66,24
GR100042,Groceries Movie 42,893.42,"Loved the eco-friendly packaging. | Excellent quality, will buy again. | Product expired sooner than expected. | Very healthy choice, highly recommend. | Perfect for daily use, very reliable. | Quantity is less compared to price. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it.",Wright-Jones,50,47,44,34
GR100043,Groceries That 43,165.12,"Perfect for daily use, very reliable. | Product expired sooner than expected. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Fresh and tasty, really enjoyed it. | Great value for money, very satisfied. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging.",Rodriguez and Sons,24,68,44,76
GR100044,Groceries Contain 44,626.89,"Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable. | Product expired sooner than expected. | Fresh and tasty, really enjoyed it. | Too expensive for the quantity provided. | Quantity is less compared to price. | Great value for money, very satisfied. | Very healthy choice, highly recommend. | Excellent quality, will buy again.",Gregory-Boyd,35,92,36,24
GR100045,Groceries Fund 45,253.69,"Very healthy choice, highly recommend. | Too expensive for the quantity provided. | Product expired sooner than expected. | Flavor was average, nothing special. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Quantity is less compared to price. | Excellent quality, will buy again. | Great value for money, very satisfied. | Loved the eco-friendly packaging. | Fresh and tasty, really enjoyed it.",Lewis Inc,61,86,31,39
GR100046,Groceries Usually 46,117.96,"Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Flavor was average, nothing special. | Excellent quality, will buy again. | Quantity is less compared to price. | Great value for money, very satisfied. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Perfect for daily use, very reliable. | Product expired sooner than expected.","Hampton, Jones and Perkins",60,95,71,100
GR100047,Groceries Truth 47,950.58,"Flavor was average, nothing special. | Very healthy choice, highly recommend. | Great value for money, very satisfied. | Not fresh, disappointed with the purchase. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Loved the eco-friendly packaging.",Nichols-Parks,99,86,30,23
GR100048,Groceries Answer 48,33.58,"Excellent quality, will buy again. | Perfect for daily use, very reliable. | Quantity is less compared to price. | Very healthy choice, highly recommend. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Product expired sooner than expected. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Flavor was average, nothing special.",Brandt Group,49,60,29,75
GR100049,Groceries Several 49,614.34,"Product expired sooner than expected. | Quantity is less compared to price. | Great value for money, very satisfied. | Flavor was average, nothing special. | Excellent quality, will buy again. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Not fresh, disappointed with the purchase. | Perfect for daily use, very reliable. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Loved the eco-friendly packaging.","Guzman, Brown and Johnson",45,65,100,53
GR100050,Groceries It 50,325.6,"Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Excellent quality, will buy again. | Great value for money, very satisfied. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Quantity is less compared to price.",Fox-Deleon,68,74,79,59
GR100051,Groceries Expert 51,602.66,"Great value for money, very satisfied. | Quantity is less compared to price. | Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Perfect for daily use, very reliable. | Flavor was average, nothing special. | Product expired sooner than expected. | Too expensive for the quantity provided. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Excellent quality, will buy again. | Loved the eco-friendly packaging.",Crawford-Villegas,50,30,73,88
GR100052,Groceries Do 52,583.11,"Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Loved the eco-friendly packaging. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Flavor was average, nothing special. | Excellent quality, will buy again. | Packaging was damaged but product was fine. | Product expired sooner than expected. | Quantity is less compared to price. | Fresh and tasty, really enjoyed it.","Smith, Miller and Price",69,45,99,87
GR100053,Groceries Continue 53,496.05,"Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Loved the eco-friendly packaging. | Excellent quality, will buy again. | Great value for money, very satisfied. | Flavor was average, nothing special. | Product expired sooner than expected. | Too expensive for the quantity provided. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Not fresh, disappointed with the purchase.",Chavez Ltd,34,91,82,41
GR100054,Groceries Court 54,859.04,"Packaging was damaged but product was fine. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Quantity is less compared to price. | Flavor was average, nothing special. | Great value for money, very satisfied.","Thomas, Padilla and Young",71,32,39,33
GR100055,Groceries Like 55,342.72,"Loved the eco-friendly packaging. | Flavor was average, nothing special. | Perfect for daily use, very reliable. | Product expired sooner than expected. | Very healthy choice, highly recommend. | Not fresh, disappointed with the purchase. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Excellent quality, will buy again. | Quantity is less compared to price.",Santana-Weaver,57,55,24,87
GR100056,Groceries Cost 56,951.37,"Excellent quality, will buy again. | Loved the eco-friendly packaging. | Not fresh, disappointed with the purchase. | Flavor was average, nothing special. | Very healthy choice, highly recommend. | Perfect for daily use, very reliable. | Great value for money, very satisfied. | Product expired sooner than expected. | Quantity is less compared to price. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it.",Lawson-Wright,57,83,60,27
GR100057,Groceries Information 57,211.32,"Not fresh, disappointed with the purchase. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Loved the eco-friendly packaging. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Great value for money, very satisfied. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable.",Reed PLC,79,70,82,86
GR100058,Groceries Drug 58,429.5,"Product expired sooner than expected. | Perfect for daily use, very reliable. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Very healthy choice, highly recommend. | Flavor was average, nothing special. | Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Excellent quality, will buy again. | Not fresh, disappointed with the purchase.",Clark-Bradford,39,95,75,65
GR100059,Groceries Down 59,482.17,"Very healthy choice, highly recommend. | Fresh and tasty, really enjoyed it. | Packaging was damaged but product was fine. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Flavor was average, nothing special. | Product expired sooner than expected. | Not fresh, disappointed with the purchase. | Quantity is less compared to price.",May LLC,63,41,51,48
GR100060,Groceries Provide 60,988.19,"Excellent quality, will buy again. | Flavor was average, nothing special. | Great value for money, very satisfied. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Quantity is less compared to price. | Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend.",Lyons-Rollins,82,79,46,31
GR100061,Groceries Able 61,180.03,"Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Flavor was average, nothing special. | Not fresh, disappointed with the purchase. | Fresh and tasty, really enjoyed it. | Great value for money, very satisfied. | Quantity is less compared to price. | Very healthy choice, highly recommend. | Excellent quality, will buy again.",Haas-Burns,69,21,87,98
GR100062,Groceries Beautiful 62,441.44,"Too expensive for the quantity provided. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Fresh and tasty, really enjoyed it. | Flavor was average, nothing special. | Very healthy choice, highly recommend. | Product expired sooner than expected. | Not fresh, disappointed with the purchase. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Loved the eco-friendly packaging. | Quantity is less compared to price.",Evans-Hogan,41,75,67,71
GR100063,Groceries Safe 63,151.24,"Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Too expensive for the quantity provided. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Not fresh, disappointed with the purchase. | Product expired sooner than expected. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Flavor was average, nothing special.","Jackson, Sellers and Tapia",91,59,26,77
GR100064,Groceries Need 64,483.34,"Not fresh, disappointed with the purchase. | Product expired sooner than expected. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Quantity is less compared to price. | Flavor was average, nothing special. | Fresh and tasty, really enjoyed it. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Great value for money, very satisfied. | Very healthy choice, highly recommend.",Mcclure-Barton,73,47,65,21
GR100065,Groceries Return 65,361.02,"Fresh and tasty, really enjoyed it. | Quantity is less compared to price. | Perfect for daily use, very reliable. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Product expired sooner than expected. | Great value for money, very satisfied. | Not fresh, disappointed with the purchase. | Too expensive for the quantity provided. | Packaging was damaged but product was fine.","Harvey, Hughes and Cisneros",28,96,97,20
GR100066,Groceries Term 66,99.35,"Flavor was average, nothing special. | Product expired sooner than expected. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Not fresh, disappointed with the purchase. | Packaging was damaged but product was fine. | Loved the eco-friendly packaging. | Perfect for daily use, very reliable. | Excellent quality, will buy again. | Quantity is less compared to price.",Strickland PLC,34,22,37,74
GR100067,Groceries Movement 67,551.42,"Loved the eco-friendly packaging. | Packaging was damaged but product was fine. | Flavor was average, nothing special. | Product expired sooner than expected. | Fresh and tasty, really enjoyed it. | Very healthy choice, highly recommend. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Great value for money, very satisfied. | Not fresh, disappointed with the purchase.",Everett LLC,67,82,57,53
GR100068,Groceries Economic 68,861.88,"Too expensive for the quantity provided. | Loved the eco-friendly packaging. | Flavor was average, nothing special. | Packaging was damaged but product was fine. | Excellent quality, will buy again. | Perfect for daily use, very reliable. | Not fresh, disappointed with the purchase. | Quantity is less compared to price. | Product expired sooner than expected. | Great value for money, very satisfied. | Very healthy choice, highly recommend. | Fresh and tasty, really enjoyed it.","Garcia, Rodriguez and Crawford",39,42,84,83
GR100069,Groceries Seat 69,697.92,"Flavor was average, nothing special. | Great value for money, very satisfied. | Packaging was damaged but product was fine. | Very healthy choice, highly recommend. | Quantity is less compared to price. | Excellent quality, will buy again. | Loved the eco-friendly packaging. | Too expensive for the quantity provided. | Fresh and tasty, really enjoyed it. | Perfect for daily use, very reliable.",Schaefer Group,54,74,36,87
GR100070,Groceries Major 70,813.9,"Loved the eco-friendly packaging. | Quantity is less compared to price. | Perfect for daily use, very reliable. | Too expensive for the quantity provided. | Excellent quality, will buy again. | Packaging was damaged but product was fine. | Very healthy choice, highly recommend. | Great value for money, very satisfied. | Not fresh, disappointed with the purchase. | Product expired sooner than expected.","Simpson, Holmes and Cisneros",86,51,57,31
