product_id,product_name,product_price,reviews,created_by,environmental impact,labor rights,animal welfare,corporate governance,category,public_sentiment_score
BE100010,Beauty Establish 10,397.68,"Too oily and sticky after use. | Very affordable and effective product. | Caused irritation on my skin. | Not suitable for sensitive skin. | Bottle design is very convenient. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Caused breakouts after a week.","Anderson, Lee and Yang",53.0,48.0,28.0,25.0,Beauty,96.61
BE100011,Beauty These 11,570.47,"Very affordable and effective product. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Bottle design is very convenient. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing.",Davis-Booth,41.0,40.0,42.0,43.0,Beauty,97.68
BE100012,Beauty Party 12,523.42,Too oily and sticky after use. | Texture is smooth and easy to apply. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused breakouts after a week. | Perfect for daily skincare routine. | Very affordable and effective product.,King PLC,87.0,100.0,97.0,72.0,Beauty,96.61
BE100013,Beauty Actually 13,199.85,"Doesn’t last long, fades quickly. | Too oily and sticky after use. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Very affordable and effective product. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing.",Weaver PLC,76.0,77.0,30.0,95.0,Beauty,96.61
BE100014,Beauty Hospital 14,378.99,Very affordable and effective product. | Helped improve my skin glow. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Caused breakouts after a week. | This product is good and recommended.,Newman-Green,59.14,60.84,63.68,59.0,Beauty,96.48
BE100015,Beauty Several 15,43.74,"Moisturizes well and feels refreshing. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Bottle design is very convenient.","Hunter, Gilbert and Ramos",85.0,69.0,50.0,69.0,Beauty,94.55
BE100016,Beauty Return 16,551.54,"Too oily and sticky after use. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Helped improve my skin glow. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Perfect for daily skincare routine. | Doesn’t last long, fades quickly.",Moore Inc,27.0,50.0,45.0,31.0,Beauty,96.61
BE100017,Beauty Throw 17,395.58,"Not suitable for sensitive skin. | Helped improve my skin glow. | Caused irritation on my skin. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use.",Green-Thomas,57.0,66.0,49.0,75.0,Beauty,94.12
BE100018,Beauty Yes 18,472.23,"Caused breakouts after a week. | Perfect for daily skincare routine. | Caused irritation on my skin. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Very affordable and effective product. | Helped improve my skin glow. | Too oily and sticky after use.",Callahan-Jones,81.0,53.0,53.0,34.0,Beauty,94.92
BE100019,Beauty Win 19,953.57,"Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Brown Inc,47.0,21.0,65.0,59.0,Beauty,96.61
BE100020,Beauty Claim 20,219.43,"Too oily and sticky after use. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Caused breakouts after a week. | Texture is smooth and easy to apply. | Very affordable and effective product. | Caused irritation on my skin. | Helped improve my skin glow. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant.",Everett and Sons,29.0,86.0,88.0,60.0,Beauty,96.61
BE100021,Beauty Meeting 21,254.54,Not suitable for sensitive skin. | Caused breakouts after a week. | Very affordable and effective product. | Helped improve my skin glow. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Caused irritation on my skin.,Barnett-Collins,64.0,91.0,24.0,88.0,Beauty,94.46
BE100022,Beauty Set 22,888.26,"Perfect for daily skincare routine. | Not suitable for sensitive skin. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient. | Too oily and sticky after use.",Marshall-Anderson,84.0,71.0,80.0,88.0,Beauty,95.07
BE100023,Beauty Behavior 23,786.68,"Very affordable and effective product. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Perfect for daily skincare routine. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Caused breakouts after a week. | Bottle design is very convenient.",Greene-Anderson,86.0,26.0,57.0,25.0,Beauty,96.61
BE100024,Beauty Site 24,685.58,"Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Caused irritation on my skin. | Too oily and sticky after use. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Caused breakouts after a week. | Bottle design is very convenient.",Sutton Ltd,28.0,95.0,47.0,86.0,Beauty,96.61
BE100025,Beauty My 25,602.61,Texture is smooth and easy to apply. | Bottle design is very convenient. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Not suitable for sensitive skin. | Caused breakouts after a week. | Too oily and sticky after use.,Carr-Morales,24.0,38.0,45.0,52.0,Beauty,97.68
BE100026,Beauty From 26,235.1,"Very affordable and effective product. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Caused breakouts after a week.",Taylor Ltd,29.0,34.0,80.0,62.0,Beauty,96.61
BE100027,Beauty White 27,662.97,"Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Very affordable and effective product. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Perfect for daily skincare routine. | Too oily and sticky after use. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Caused breakouts after a week.",Fields LLC,31.0,97.0,42.0,40.0,Beauty,96.77
BE100028,Beauty Avoid 28,337.04,"Bottle design is very convenient. | Texture is smooth and easy to apply. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Not suitable for sensitive skin. | Caused irritation on my skin. | Very affordable and effective product.",Daniels PLC,77.0,67.0,65.0,84.0,Beauty,96.61
BE100029,Beauty Bank 29,76.95,"Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Caused irritation on my skin. | Helped improve my skin glow. | Too oily and sticky after use. | Bottle design is very convenient. | Texture is smooth and easy to apply. | Very affordable and effective product. | Perfect for daily skincare routine.",Perry-Anderson,40.0,33.0,49.0,36.0,Beauty,96.61
BE100030,Beauty Risk 30,751.28,"Caused breakouts after a week. | Very affordable and effective product. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Caused irritation on my skin. | Bottle design is very convenient.","Evans, Garcia and Day",40.0,22.0,86.0,27.0,Beauty,96.61
BE100031,Beauty However 31,401.55,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Bottle design is very convenient. | Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Perfect for daily skincare routine.",Simmons and Sons,84.0,69.0,52.0,83.0,Beauty,94.22
BE100032,Beauty Yourself 32,251.08,"Very affordable and effective product. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Caused breakouts after a week. | Not suitable for sensitive skin. | Too oily and sticky after use. | Moisturizes well and feels refreshing. | Helped improve my skin glow.",Duncan LLC,22.0,73.0,22.0,47.0,Beauty,96.61
BE100033,Beauty Doctor 33,113.63,"Perfect for daily skincare routine. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Moisturizes well and feels refreshing. | Caused irritation on my skin.","Heath, Mcdonald and Anderson",88.0,25.0,88.0,32.0,Beauty,95.07
BE100034,Beauty Lose 34,537.4,"Caused irritation on my skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use. | Helped improve my skin glow. | Perfect for daily skincare routine. | Bottle design is very convenient. | Moisturizes well and feels refreshing.",Copeland-Sullivan,83.0,68.0,61.0,32.0,Beauty,95.33
BE100035,Beauty Condition 35,696.19,"Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Helped improve my skin glow. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Caused breakouts after a week.",Beck-Waller,68.0,42.0,81.0,57.0,Beauty,96.61
BE100036,Beauty None 36,183.1,"Not suitable for sensitive skin. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin.","Mcdowell, Bailey and Salinas",91.0,97.0,77.0,44.0,Beauty,96.61
BE100037,Beauty Congress 37,458.07,Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Not suitable for sensitive skin. | Too oily and sticky after use. | Bottle design is very convenient. | Fragrance is long-lasting and pleasant. | Helped improve my skin glow.,Bird-Farmer,36.0,97.0,76.0,81.0,Beauty,96.61
BE100038,Beauty World 38,30.3,"Not suitable for sensitive skin. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Bottle design is very convenient. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Too oily and sticky after use. | Texture is smooth and easy to apply.",Hawkins-Bender,92.0,39.0,20.0,42.0,Beauty,96.77
BE100039,Beauty Movie 39,481.69,Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Helped improve my skin glow. | Caused breakouts after a week. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.,"Macdonald, Jefferson and Gilmore",51.0,96.0,92.0,40.0,Beauty,95.07
BE100040,Beauty Sport 40,879.93,"Very affordable and effective product. | Caused breakouts after a week. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Cooper PLC,89.0,79.0,79.0,73.0,Beauty,96.61
BE100041,Beauty Race 41,428.45,"Caused breakouts after a week. | Caused irritation on my skin. | Helped improve my skin glow. | Bottle design is very convenient. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Perfect for daily skincare routine. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant.",Green and Sons,40.0,64.0,88.0,82.0,Beauty,96.61
BE100042,Beauty Compare 42,870.23,"Moisturizes well and feels refreshing. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Caused breakouts after a week. | Not suitable for sensitive skin. | Too oily and sticky after use. | Helped improve my skin glow. | Very affordable and effective product. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.",Moore-Turner,26.0,80.0,78.0,49.0,Beauty,96.61
BE100043,Beauty At 43,168.27,"Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Caused breakouts after a week. | Not suitable for sensitive skin. | Bottle design is very convenient. | Perfect for daily skincare routine.",Allen-Farrell,26.0,75.0,65.0,94.0,Beauty,96.77
BE100044,Beauty According 44,602.54,"Moisturizes well and feels refreshing. | Caused breakouts after a week. | Caused irritation on my skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Very affordable and effective product. | Doesn’t last long, fades quickly.","Joseph, Kelly and Harper",46.0,21.0,53.0,87.0,Beauty,95.07
BE100045,Beauty When 45,397.5,"Moisturizes well and feels refreshing. | Caused breakouts after a week. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Very affordable and effective product. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Helped improve my skin glow. | Not suitable for sensitive skin. | Too oily and sticky after use. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient.",Steele PLC,27.0,64.0,44.0,95.0,Beauty,96.61
BE100046,Beauty Policy 46,988.32,"Caused irritation on my skin. | Texture is smooth and easy to apply. | Caused breakouts after a week. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Too oily and sticky after use. | Helped improve my skin glow. | Very affordable and effective product. | Bottle design is very convenient. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant.",Archer-Ortiz,92.0,59.0,61.0,92.0,Beauty,96.76
BE100047,Beauty Week 47,124.8,"Caused breakouts after a week. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Very affordable and effective product. | Caused irritation on my skin. | Helped improve my skin glow. | Bottle design is very convenient. | Not suitable for sensitive skin. | Too oily and sticky after use. | Doesn’t last long, fades quickly. | Moisturizes well and feels refreshing. | Perfect for daily skincare routine.",Lambert Ltd,47.0,43.0,48.0,51.0,Beauty,96.61
BE100048,Beauty Society 48,436.46,"Too oily and sticky after use. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Helped improve my skin glow. | Bottle design is very convenient. | Very affordable and effective product.","Clark, Wilkerson and Smith",98.0,48.0,44.0,94.0,Beauty,96.61
BE100049,Beauty Run 49,989.48,"Moisturizes well and feels refreshing. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Very affordable and effective product. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Helped improve my skin glow.","Baker, Roberson and Salazar",85.0,86.0,73.0,43.0,Beauty,96.61
BE100050,Beauty Culture 50,141.1,"Helped improve my skin glow. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant.",Hudson-Evans,90.0,87.0,92.0,26.0,Beauty,96.61
BE100051,Beauty Vote 51,555.1,"Bottle design is very convenient. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Very affordable and effective product. | Not suitable for sensitive skin. | Too oily and sticky after use. | Perfect for daily skincare routine. | Helped improve my skin glow. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Caused breakouts after a week.",Garcia-Suarez,66.0,85.0,86.0,91.0,Beauty,96.61
BE100052,Beauty Seven 52,822.28,"Doesn’t last long, fades quickly. | Caused breakouts after a week. | Very affordable and effective product. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Caused irritation on my skin. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Helped improve my skin glow.",Brennan Inc,29.0,73.0,34.0,20.0,Beauty,95.33
BE100053,Beauty Eat 53,663.28,"Doesn’t last long, fades quickly. | Caused breakouts after a week. | Very affordable and effective product. | Bottle design is very convenient. | Caused irritation on my skin. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Texture is smooth and easy to apply. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Too oily and sticky after use.",Tapia-Thomas,52.0,72.0,23.0,22.0,Beauty,96.44
BE100054,Beauty Value 54,296.98,"Caused breakouts after a week. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Perfect for daily skincare routine. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Very affordable and effective product. | Bottle design is very convenient. | Caused irritation on my skin. | Doesn’t last long, fades quickly. | Too oily and sticky after use.","Ramirez, Stanley and Moore",26.0,98.0,57.0,47.0,Beauty,95.59
BE100055,Beauty Middle 55,490.06,"Bottle design is very convenient. | Caused breakouts after a week. | Very affordable and effective product. | Too oily and sticky after use. | Caused irritation on my skin. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine.",Henry and Sons,22.0,68.0,39.0,62.0,Beauty,96.61
BE100056,Beauty Product 56,171.57,Bottle design is very convenient. | Too oily and sticky after use. | Perfect for daily skincare routine. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Caused breakouts after a week.,"Smith, Daniels and Jones",33.0,51.0,42.0,65.0,Beauty,96.61
BE100057,Beauty Still 57,675.79,"Doesn’t last long, fades quickly. | Not suitable for sensitive skin. | Too oily and sticky after use. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Very affordable and effective product.",Landry Ltd,63.0,80.0,56.0,20.0,Beauty,95.82
BE100058,Beauty She 58,20.92,"Too oily and sticky after use. | Helped improve my skin glow. | Perfect for daily skincare routine. | Not suitable for sensitive skin. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Bottle design is very convenient. | Very affordable and effective product. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly.","Gonzales, Schmidt and Ali",65.0,61.0,81.0,57.0,Beauty,95.82
BE100059,Beauty Reflect 59,84.89,"Caused breakouts after a week. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Fragrance is long-lasting and pleasant. | Doesn’t last long, fades quickly. | Texture is smooth and easy to apply. | Perfect for daily skincare routine. | Bottle design is very convenient. | Caused irritation on my skin. | Very affordable and effective product.","Ho, Gates and Nguyen",80.0,20.0,27.0,54.0,Beauty,96.44
BE100060,Beauty College 60,769.49,"Texture is smooth and easy to apply. | Fragrance is long-lasting and pleasant. | Moisturizes well and feels refreshing. | Very affordable and effective product. | Too oily and sticky after use. | Bottle design is very convenient. | Caused breakouts after a week. | Caused irritation on my skin. | Not suitable for sensitive skin. | Helped improve my skin glow. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine.",Lang PLC,55.0,82.0,56.0,93.0,Beauty,96.61
BE100061,Beauty Sense 61,69.62,"Perfect for daily skincare routine. | Caused irritation on my skin. | Fragrance is long-lasting and pleasant. | Caused breakouts after a week. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Too oily and sticky after use. | Very affordable and effective product. | Moisturizes well and feels refreshing. | Doesn’t last long, fades quickly.",Scott LLC,32.0,54.0,64.0,95.0,Beauty,96.61
BE100062,Beauty But 62,302.96,"Moisturizes well and feels refreshing. | Bottle design is very convenient. | Too oily and sticky after use. | Very affordable and effective product. | Caused breakouts after a week. | Helped improve my skin glow. | Texture is smooth and easy to apply. | Doesn’t last long, fades quickly. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Not suitable for sensitive skin.",Moss-Parker,35.0,70.0,52.0,93.0,Beauty,97.68
BE100063,Beauty Mouth 63,846.94,"Bottle design is very convenient. | Very affordable and effective product. | Texture is smooth and easy to apply. | Caused irritation on my skin. | Helped improve my skin glow. | Moisturizes well and feels refreshing. | Too oily and sticky after use. | Caused breakouts after a week. | Not suitable for sensitive skin. | Doesn’t last long, fades quickly. | Fragrance is long-lasting and pleasant.",Ward PLC,99.0,90.0,26.0,73.0,Beauty,94.12
BE100064,Beauty Number 64,54.64,"Very affordable and effective product. | Moisturizes well and feels refreshing. | Not suitable for sensitive skin. | Fragrance is long-lasting and pleasant. | Caused irritation on my skin. | Too oily and sticky after use. | Texture is smooth and easy to apply. | Helped improve my skin glow. | Bottle design is very convenient. | Perfect for daily skincare routine. | Caused breakouts after a week. | Doesn’t last long, fades quickly.","Dean, Stewart and Smith",24.0,64.0,41.0,43.0,Beauty,96.77
BE100065,Beauty Unit 65,33.16,Texture is smooth and easy to apply. | Helped improve my skin glow. | Very affordable and effective product. | Perfect for daily skincare routine. | Fragrance is long-lasting and pleasant. | Bottle design is very convenient. | Too oily and sticky after use. | Caused irritation on my skin. | Not suitable for sensitive skin. | Moisturizes well and feels refreshing. | Caused breakouts after a week.,"Novak, Evans and Burton",57.0,96.0,24.0,47.0,Beauty,96.61
